HydroSHEDS_ID CHIRPSv2.0 CMORPHv0.x-RAW CPC-Unifiedv1.0 CRU-TSv4.03 ERA5-Land ERA5 GPCCv7.0 PERSIANN-CCS PERSIANN-CDR PERSIANN PREC-Land SM2RAIN-CCI TRMM-3B42RT TRMM-3B43 UDELv5.0
1051363390 1052.852 1083.22 936.834 1199.001 1071.729 1073.808 1076.493 1412.956 1065.463 1151.862 1110.695 1108.867 1232.409 1239.343 1117.354
1051363500 1202.41 968.168 975.016 1218.697 1010.989 1044.078 1288.405 1358.078 1151.885 1117.664 1206.077 1116.578 1271.884 1271.324 1137.363
1051360960 1157.959 923.925 979.947 1376.303 1042.164 1060.205 1457.455 1325.111 1128.966 1090.432 1387.747 1271.169 1262.134 1258.281 1256.639
1051360840 1176.405 973.516 940.776 1206.722 1301.297 1369.761 1208.896 1498.261 1144.305 1226.724 1184.308 1274.895 1240.163 1241.805 1201.983
1050010040 1072.851 866.074 802.688 966.672 927.815 945.871 1038.003 1216.488 1230.738 1036.523 1036.807 871.146 1081.907 1119.992 945.177
1050010590 1135.418 985.803 846.324 978.137 938.872 950.036 1124.379 1337.751 1261.298 1131.168 1066.188 1129.947 1172.469 1166.918 1041.566
1050010600 1051.284 933.919 917.206 1023.95 1001.227 1036.056 1096.363 1336.627 1155.092 1123.277 985.44 917.279 1127.38 1143.581 962.32
1050011120 1211.159 1172.997 995.243 1083.431 964.385 990.76 1184.827 1521.717 1278.973 1240.906 1078.11 951.14 1273.273 1265.747 1033.252
1050011130 1111.159 858.404 888.188 1141.531 876.965 921.694 1072.284 1099.768 922.588 878.472 1097.251 479.006 1033.575 1039.074 1043.358
1050011180 1312.79 1111.446 949.339 1128.234 1001.611 1017.769 1209.699 1502.087 1335.512 1275.435 1158.1 1086.454 1228.609 1229.117 1130.416
1050011190 1336.859 1069.209 973.221 1237.466 1016.286 1048.116 1270.639 1385.614 1164.724 1119.619 1285.927 890.001 1225.935 1236.414 1222.627
1050011420 1498.602 1155.145 924.101 1292.587 1149.901 1182.55 1428.675 1614.273 1292.056 1339.583 1395.359 973.066 1354.537 1357.213 1488.537
1050011430 1235.216 1072.262 1073.325 1317.075 963.209 1000.41 1159.352 1107.61 1056.966 942.899 1087.966 826.622 1066.928 1093.68 1070.511
1050011500 1267.182 977.744 1023.694 1278.914 913.512 933.619 1074.044 1304.072 1145.897 1061.342 968.413 782.868 1140.391 1161.227 856.653
1050011510 1258.51 737.491 1101.046 1359.581 860.71 885.951 1209.936 826.891 922.889 715.673 1192.232 123.119 945.769 956.076 1056.078
1050011530 1124.678 684.279 1105.385 1354.787 861.172 901.742 1112.029 848.834 939.969 725.886 1152.877 767.573 973.562 991.876 986.397
1050011660 959.626 757.237 1005.506 1194.64 732.878 759.773 933.967 1071.975 1001.624 885.238 1001.722 905.831 895.464 916.582 879.666
1051472390 1005.08 845.692 757.25 1024.871 1041.294 1060.061 1019.888 1353.892 1110.054 1071.344 1034.321 720.628 1020.643 1033.179 985.924
1051472430 786.757 730.717 685.682 867.159 716.046 728.143 688.508 1097.296 893.987 881.207 763.558 752.014 783.679 798.923 635.022
1051447780 724.356 710.7 602.303 683.263 682.191 680.77 656.852 1148.509 806.805 904.973 653.109 715.384 726.798 745.602 533.661
1051447890 808.726 708.302 757.715 858.199 754.34 768.667 805.593 984.839 814.964 766.426 825.427 814.817 819.586 815.07 753.9
1051443690 1040.539 894.013 677.248 932.882 1078.037 1092.482 960.447 1356.163 1060.05 1077.749 966.602 861.688 951.88 959.386 943.283
1051443680 806.211 718.411 632.709 746.726 811.314 792.266 791.076 1190.157 798.858 889.207 726.756 778.754 840.748 863.413 765.683
1051430860 805.38 740.543 741.561 776.633 903.386 911.618 811.877 1186.545 801.077 875.911 787.491 734.042 797.488 796.269 812.991
1051430830 1004.325 938.282 746.544 970.439 1036.879 1049.396 1224.781 1391.793 1004.487 1075.926 1029.311 1051.283 1013.578 1024.319 989.873
1051398950 995.71 759.44 787.151 909.535 1071.639 1066.467 901.97 1324.946 1117.959 1039.639 890.178 1038.2 952.911 941.318 832.104
1051398880 1250.941 1051.818 900.914 1265.91 1445.579 1482.864 1173.572 1564.941 1227.449 1173.092 1088.69 412.723 1197.61 1191.615 1152.266
1051431950 785.944 741.377 776.926 779.185 864.268 876.845 761.512 1042.955 776.079 776.552 783.755 843.043 804.225 791.989 773.709
1051431940 768.389 811.163 748.439 738.237 974.091 1048.243 710.282 1178.577 798.026 912.682 763.628 904.79 747.675 736.412 784.554
1051382440 1017.38 803.227 782.32 919.335 980.95 888.611 969.423 1397.051 1055.483 1054.068 869.598 1148.797 956.679 940.573 821.798
1051382340 1280.626 1202.334 905.556 1587.737 1634.337 1702.817 1292.062 1518.131 1290.027 1251.904 1326.644 324.029 1385.26 1398.264 1411.689
1051431680 785.4 791.29 731.804 773.523 1054.13 1061.126 788.733 1244.167 776.695 927.289 752.063 865.262 813.248 803.224 776.218
1051431480 832.02 852.182 735.813 779.469 1079.624 1110.678 762.141 1376.019 859.411 995.639 760.672 757.343 857.614 842.951 748.914
1051378410 1292.947 1223.459 942.866 1336.004 2215.926 2195.611 1350.618 1897.806 1321.795 1461.136 1415.176 303.457 1461.696 1481.995 1385.396
1051378400 1052.653 829.182 819.448 956.791 1012.605 1051.746 934.419 1390.662 1102.739 1158.564 924.044 1013.276 1028.215 1010.168 900.378
1051418940 969.191 1060.038 777.338 977.579 1044.248 1062.427 956.89 1539.135 1046.646 1145.946 922.885 975.271 1013.419 996.284 901.261
1051418880 969.005 952.314 776.74 1009.656 1062.047 1055.3 989.576 1501.421 982.798 1100.697 934.451 957.4 998.033 973.923 975.998
1051438780 830.987 868.917 709.173 813.237 959.761 956.806 816.743 1584.059 857.873 1096.605 823.766 922.75 838.748 829.834 815.481
1051438860 735.037 749.4 720.354 700.619 918.71 945.657 745.233 1343.068 797.802 1007.9 743.94 937.26 786.685 780.575 722.65
1051347100 1223.344 1029.27 852.741 1029.404 1922.789 1882.832 1307.051 1675.551 1250.498 1311.154 1187.549 785.271 1311.075 1322.788 1435.041
1051347090 932.008 917.158 891.15 1027.791 1234.246 1263.161 996.608 1520.397 1201.884 1361.973 1212.548 985.07 993.144 992.877 1054.821
1051451560 750.185 798.104 744.216 703.834 798.864 815.608 746.675 1086.561 758.82 772.162 736.505 778.416 798.721 790.715 715.442
1051451550 772.831 781.169 730.824 791.959 1157.72 1186.517 807.835 1600.853 854.724 1127.284 780.991 573.225 879.098 869.837 777.7
1051453310 766.72 1516.8 730.639 744.75 1230.096 1255.318 849.605 1635.836 852.947 1128.92 817.632 464.903 905.532 892.112 770.583
1051453390 701.984 756.795 765.554 719.431 931.508 934.905 799.395 1299.573 778.679 889.192 720.863 766.511 794.045 781.312 739.969
1051457490 713.811 1079.129 693.438 721.095 1060.553 1065.903 752.893 1499.908 789.614 1002.429 721.589 671.583 796.566 783.133 677.673
1051457550 689.731 800.978 735.937 736.846 893.547 893.437 736.036 1252.196 755.574 855.321 718.747 751.77 762.427 747.569 710.356
1051387160 945.904 1036.764 787.165 969.392 937.966 948.671 1144.587 1464.462 1055.641 1126.126 925.809 1291.089 1044.716 1030.794 901.271
1051387100 969.348 1092.185 790.668 943.476 1043.745 1042.798 1003.766 1491.166 1040.262 1140 899.604 1034.199 1047.165 1037.754 881.368
1051478700 678.003 807.666 647.469 628.893 792.053 784.729 679.131 1414.817 702.502 959.191 686.982 714.613 688.702 689.214 660.678
1051478770 641.505 724.013 613.102 614.139 665.262 669.816 647.669 1051.124 653.169 710.816 592.035 665.257 682.301 674.685 603.313
1051376970 1112.223 1165.977 806.368 1019.522 1223.811 1245.208 1044.173 1683.339 1055.896 1192.609 1050.76 639.379 1172.601 1168.082 1048.731
1051376870 875.345 1053.188 800.312 944.65 1018.486 1021.854 945.702 1449.771 1042.407 1110.083 930.517 1082.622 1007.028 1000.198 920.189
1051369690 931.282 929.114 820.04 870.672 935.107 893.533 849.812 1335.381 1017.493 1055.855 876.249 1100.05 988.172 971.604 832.511
1051369590 944.827 1024.412 830.576 982.909 1132.706 1144.197 953.443 1476.209 1074.959 1124.601 991.949 1050.757 1110.189 1116.223 1001.53
1051473950 612.272 813.075 616.538 630.731 712.097 699.29 599.273 1543.927 666.682 995.536 700.782 635.996 607.722 608.467 582.016
1051473880 850.707 1023.987 650.865 747.023 935.96 929.583 810.697 1853.305 857.947 1246.504 803.169 854.644 838.142 837.289 750.983
1051413460 1062.803 1141.046 773.85 1053.65 1112.274 1128.133 1111.375 1793.036 1010.609 1208.198 1074.095 765.404 1074.029 1066.149 1099.889
1051413580 931.683 985.682 730.519 974.4 1041.872 1023.846 884.134 1721.199 950.97 1159.087 924.324 935.31 939.407 944.188 926.442
1051412570 963.489 1050.497 751.936 1060.713 1040.344 1023.663 903.815 1670.211 952.01 1110.748 968.552 960.631 961.512 969.981 991.817
1051412560 1218.937 1239.917 816.252 1213.283 1188.891 1196.89 1177.76 1876.557 1115.974 1273.649 1183.97 154.353 1237.205 1227.1 1213.694
1051409070 967.279 968.91 758.42 1022.655 1006.221 1011.668 976.849 1552.183 964.518 1078.742 963.486 997.206 996.679 978.487 1001.968
1051409000 985.524 982.192 749.28 1052.756 1102.911 1111.101 887.439 1595.354 1000.432 1095.915 950.176 1005.935 997.936 989.507 964.55
1051487890 697.054 909.781 595.714 643.694 813.362 809.937 649.835 1616.939 719.473 1062.626 685.11 672.764 672.464 670.867 594.737
1051487960 604.812 845.16 539.403 594.268 725.714 727.807 534.971 1473.031 648.485 960.114 568.781 614.137 585.944 582.509 512.394
1051400740 1214.372 1218.333 824.106 1207.021 1158.249 1160.994 1207.153 1915.005 1100.932 1259.895 1175.257 295.086 1261.104 1245.396 1226.231
1051400750 1240.884 1192.767 843.479 1249.494 1165.474 1159.363 1254.766 1789.625 1121.678 1244.628 1190.864 1037.398 1271.515 1253.374 1234.529
1051466490 728.461 1021.295 535.859 726.1 876.987 873.901 706.125 1770.767 788.846 1168.961 681.219 700.958 727.616 721.673 638.894
1051466350 833.704 1032.697 567.641 775.284 948.802 934.06 849.963 1840.681 824.781 1224.928 803.847 825.344 792.103 788.121 770.339
1051423960 997.32 1184.027 605.365 940.867 1129.542 1130.454 1064.992 2117.964 1001.425 1481.246 984.106 969.669 1031.562 1025.178 955.76
1051423970 932.274 1162.234 681.251 912.775 1057.9 1051.155 996.266 1922.448 962.679 1325.132 936.081 999.38 1011.258 1009.761 924.749
1051408100 951.784 1202.97 668.009 1006.025 1138.625 1122.889 1061.434 2045.081 1040.992 1439.594 996.468 1110.08 1067.089 1061.334 1000.067
1051408090 1072.668 1289.729 579.007 1097.839 1224.699 1230.765 1171.043 2166.268 1117.291 1541.486 1111.424 565.337 1192.16 1185.496 1073.385
1051405290 1085.649 1325.974 663.682 1126.71 1305.877 1307.721 1147.579 2184.433 1111.571 1552.868 1111.702 859.036 1233.322 1238.759 1092.74
1051405300 1158.413 1322.556 770.979 1165.824 1249.808 1252.011 1169.979 2022.156 1106.957 1399.691 1189.651 206.283 1222.471 1220.295 1187.252
1051428730 924.902 1169.675 569.145 900.426 1103.79 1098.222 1051.477 2069.92 989.453 1434.647 935.388 942.178 996.619 979.956 933.537
1051428790 848.924 1071.243 544.542 862.753 1067.526 1065.607 941.57 1893.555 901.768 1296.572 834.211 886.097 831.642 828.362 836.033
1051419860 961.897 1210.458 540.355 960.801 1144.876 1132.868 1062.216 2088.184 1060.611 1466.381 955.871 708.115 1094.048 1076.261 941.387
