HydroSHEDS_ID AVHRR-NTSG BESS CSIRO-PMLv2.0 ERA5-Land FLDAS FluxCom-RS FluxCom-RSM GLDASv2.1 GLEAMv3.3a GLEAMv3.3b MOD16A3 SSEBOpv4.0
1051285320 809.105 906.57 572.929 252.03 628.116 1087.016 813.254 685.273 547.438 550.096 663.542 708.509
1051285400 672.723 860.093 541.331 225.421 499.267 982.619 843.586 689.074 494.607 502.437 544.189 503.186
1051289610 836.766 856.258 677.498 293.265 709.078 1150.363 839.607 714.307 649.288 665.566 665.01 599.697
1051289620 911.063 853.724 855.106 294.203 752.114 1124.6 789.176 699.919 663.493 695.566 825.342 674.034
1050009460 1025.28 1011.678 901.409 324.242 916.361 1262.069 1117.384 813.531 821.226 843.416 1044.047 982.054
1050010030 923.062 968.903 916.716 307.375 917.307 1222.625 1058.736 836.264 784.566 812.151 982.361 970.524
1051358080 980.224 1007.277 825.591 328.051 879.924 1151.752 961.568 741.715 749.292 761.371 886.407 967.863
1051357890 845.904 938.013 944.594 306.662 797.026 1115.081 1020.142 771.627 701.653 712.038 858.42 948.422
1051355140 971.757 996.512 925.046 340.839 814.17 1161.244 973.982 697.088 728.371 741.189 875.119 997.936
1051355040 988.305 986.153 1010.54 322.558 860.527 1211.11 985.078 703.089 713.074 724.001 918.149 992.345
1051363390 1053.219 1015.852 938.653 351.903 870.966 1191.585 924.91 681.313 804.276 816.516 860.117 936.232
1051363500 1064.192 1018.823 936.524 330.045 864.749 1181.147 933.772 698.146 788.466 815.454 893.711 894.739
1051360960 1070.131 1018.144 1021.499 340.225 898.234 1227.963 932.144 725.927 828.935 847.334 865.591 887.68
1051360840 1082.04 957.764 934.208 355.359 915.544 1123.545 918.361 678.944 834.803 858.851 827.327 806.651
1050010040 1024.381 994.306 811.814 329.181 890.627 1207.111 1057.703 810.372 768.151 792.095 1056.584 1031.828
1050010590 969.69 973.249 801.454 325.191 900.783 1138.239 978.85 763.306 718.725 737.433 887.177 857.491
1050010600 1016.331 974.999 656.38 347.849 880.811 1169.15 1047.666 775.98 740.31 757.15 995.503 878.447
1050011120 927.47 925.427 889.371 340.858 1034.529 1146.59 1005.007 824.258 737.295 757.389 943.745 827.848
