"HydroSHEDS_ID" "Latitude" "Longitude" "Area" "Elevation" "Slope" "CTI" "NDVI"
"1051552540" -23.1644 27.6468 39400.2 997.2032 1.8029 11.3712 0.394
"1051552590" -23.66 28.74 16047.4 1062.6298 2.7825 10.8666 0.399
"1051569210" -24.0355 27.3065 4140.2 1006.8102 1.9671 11.5525 0.416
"1051569100" -23.374 26.2441 11643.8 1037.1131 0.758 12.2034 0.366
"1051571680" -23.9984 26.9186 929.1 894.0066 0.5921 11.9487 0.402
"1051571670" -24.4712 25.9198 17432.3 1070.4968 1.3666 11.5934 0.414
"1051577000" -25.2964 27.5832 29547.8 1193.6851 2.7973 10.8001 0.427
"1051576990" -25.0737 26.4392 13325.6 1109.599 1.7408 11.396 0.442
"1050012600" -25.3119 33.1661 772.3 34.0086 2.5816 11.1413 0.454
"1050012680" -25.2665 31.5721 46725.2 595.4672 4.4006 10.5597 0.571
"1050012690" -26.1155 32.1285 10344.3 229.1446 3.2196 10.9414 0.583
"1050012810" -26.9408 31.2434 30280.3 868.7935 5.7707 10.0052 0.602
"1050012820" -27.9744 31.8334 29845 402.3442 5.2761 10.2438 0.61
"1050013070" -28.5029 30.0925 29195.5 1236.3569 7.2713 9.6405 0.547
"1050013080" -30.6757 29.4057 65284.3 971.2093 9.2707 9.2114 0.607
"1050013950" -32.0031 27.2574 20521.7 1146.0909 7.6627 9.5418 0.505
"1050013960" -32.9128 27.4452 7998 393.5437 6.3931 9.5333 0.642
"1050014220" -32.2506 25.8408 30262.9 1069.996 6.5636 9.8286 0.423
"1050014230" -33.4439 26.3388 5404.7 340.1037 6.4043 9.6035 0.635
"1050014370" -32.7153 24.8175 21323.4 771.4809 5.7242 10.1059 0.419
"1050014380" -33.7919 25.356 2669.4 257.006 7.2017 9.8091 0.633
"1050014490" -32.7329 23.6326 34806.1 932.367 5.6519 10.4023 0.314
"1050014500" -33.9697 23.4059 7381.5 326.0296 9.8878 9.3018 0.513
"1050014920" -33.1988 21.7353 45083.1 779.0385 6.98 9.8108 0.289
"1050014930" -33.9384 20.1678 15664.1 439.5664 9.4492 9.5236 0.482
"1050015030" -34.0676 19.1904 12586.6 158.832 4.9383 10.2344 0.461
"1050015390" -33.2001 18.727 7797.6 201.1576 4.976 10.5153 0.465
"1050015400" -32.3245 18.5588 5267 188.8101 3.9111 10.5476 0.37
"1050015560" -31.8202 19.3939 46364.3 675.8521 5.3628 10.1568 0.267
"1050015570" -31.1734 18.013 2911.8 180.2694 2.9674 10.4127 0.272
"1050015630" -30.6494 18.1296 4739.9 523.8832 6.981 9.5933 0.286
"1050015640" -30.256 17.5399 5012 252.0784 4.3436 10.1248 0.265
"1050015720" -29.7811 17.8493 10168.2 695.9599 6.3981 9.8155 0.241
"1050015730" -29.0121 17.0624 5918.9 333.5718 4.5528 10.2537 0.217
"1050015850" -28.1566 16.8472 5118.9 491.9523 8.5832 9.5599 0.157
"1051620260" -28.4518 18.8606 68986.1 837.9995 2.9781 10.8838 0.148
"1051620200" -25.8998 17.5478 86977.8 1171.458 2.7945 10.9368 0.154
"1051624310" -27.7345 20.9142 20461.2 888.236 0.8115 11.9662 0.195
"1051624330" -28.7907 20.2905 2295.5 808.4498 1.4111 11.3784 0.157
